,original,name,price,link,image,contact,ownerName,city,district,unit,standardPrice
1026,watermelon,"Hybrid A Grade Fresh Watermelon, Packaging Type: Carton, Packaging Size: 5 Kg",18,deepak-import-and-export/fresh-fruit.html,https://5.imimg.com/data5/SELLER/Default/2020/9/BT/XM/RR/40452634/watermelon-125x125.jpg,8047636990,Deepak Hanumant Sagat,Pune,,Kg,18/Kg
1027,watermelon,"Sweet Candy A Grade Fresh Export Quality Musk Melon, Packaging Type: Gunny Bag, Packaging Size: Bulk",28000,muscat-trading-co/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/8/UF/ID/PV/53403051/fresh-musk-melon-125x125.jpg,8048618905,Muscat Trading Company & Services (MTCO),Coimbatore,,Tonne,"28,000/Tonne"
1028,watermelon,A Grade Fresh Watermelons,28,ronsin-international/fresh-watermelon.html,https://5.imimg.com/data5/CL/LN/JG/SELLER-13803456/fresh-watermelons-125x125.jpg,7942546950,Ronsin International,New Delhi,,Kg,28/Kg
1029,watermelon,"A Grade Fresh Watermelon, Packaging Type: Carton, Packaging Size: 20 Kg",18,biruaenterprises/,https://5.imimg.com/data5/LP/YM/NL/SELLER-93035610/fresh-watermelon-125x125.jpg,7942544286,Birua Enterprises,Jamshedpur,East Singhbhum,Kg,18/Kg
1030,watermelon,A Grade Fresh Watermelon For Export Purpose,1,krushirjainternational/fresh-fruit.html,https://5.imimg.com/data5/BW/UQ/OA/ANDROID-29495276/product-jpeg-125x125.jpg,8047639422,Krushirja International,Navi Mumbai,Thane,Kg,1/Kg
1031,watermelon,"A Grade Watar Melon, Packaging Size: 10 Kg",20,goldway-new-delhi/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2023/1/MH/BA/WI/41996727/product-jpeg-125x125.jpg,8047674093,Goldway,New Delhi,,Kg,20/Kg
1032,watermelon,"SAMBHA AGRO Sugar Queen Organic Fresh Watermelon, Packaging Type: Loose, Packaging Size: Pick up load",9,elmechpowercontrols/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2021/4/MY/PB/HJ/9835370/watermelon-125x125.jpeg,8046077576,Elmech Power Controls,Nashik,,Kg,9/Kg
1033,watermelon,Sugerkung A Grade Watermelon,9,nishantenterprises-nashik/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2022/4/VQ/EQ/VH/77992865/product-jpeg-125x125.jpg,8048986663,Nishant Enterprises,Nashik,,Kg,9/Kg
1034,watermelon,"Sagarking A Grade Watermelon, Packaging Type: Carton",13,urban-growers/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/4/WF/MR/UC/24867104/watermelon-125x125.jpeg,8047640338,Urban Growers LLP,New Delhi,,Kg,13/Kg
1035,watermelon,"Mahakal Agro Fruits Watermelons, Packaging Type: Gunny Bag",25,mahakal-agro-kalol/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/3/ZZ/PW/RZ/36905324/fruits-watermelons-125x125.jpg,8047304673,Mahakal Agro,Kalol,Gandhi Nagar,Kg,25/Kg
1036,watermelon,"A Grade Avocado Fresh Organic Watermelon, Packaging Type: Loose",15,srilakshmivenkateshwarapanyalayam/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/1/DQ/PA/CR/53611229/fresh-beans-125x125.jpeg,7942792673,Sri Lakshmi Venkateshwara Panyalayam Private Limited,Bengaluru,,Kg,15/Kg
1037,watermelon,A Grade Fresh Watermelon Fruit,13,riyathfruits/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/12/DM/EC/KE/49293026/fresh-watermelon-fruit-125x125.webp,7942787189,Riyath Fruits,Dindigul,,Kg,13/Kg
1038,watermelon,AgroBEET Sugarking Fresh Watermelon,10,agrobeetagritech/fresh-watermelon.html,https://5.imimg.com/data5/ANDROID/Default/2022/4/DV/US/WO/72666059/prod-20220406-1742585666990596957015593-jpg-125x125.jpg,8045908856,Agrobeet Agritech Private Limited,Pimpri Chinchwad,Pune,Kg,10/Kg
1039,watermelon,A Grade Sweet Fresh Watermelon,15,poonaagrocart/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/1/BG/NW/DD/122538668/fresh-black-watermelon-125x125.jpg,7942797530,Poonaagrocart LLP,Pune,,Kg,15/Kg
1040,watermelon,"Naam Dhari A Grade Water melon, Packaging Size: 10 Kg",12,vvs-groups-coimbatore/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2023/1/IF/KC/WR/36690739/product-jpeg-125x125.jpg,7942795341,Vvs Groups,Coimbatore,,Kg,12/Kg
1041,watermelon,"Sugar King A Grade Watermelon, Packaging Size: vehicle",15,sai-hightech-agro/fresh-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2022/11/FM/IT/VF/22091398/watermelon-125x125.webp,7942672903,Sai Hightech Agro,Mumbai,,Kg,15/Kg
1042,watermelon,"A Grade Punam watermelon, Packaging Size: Loose",7.50,aham-international-sundargarh/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2023/3/JI/DP/RG/64721691/product-jpeg-125x125.jpg,8046046533,Aham International,Sundargarh,Sundergarh,Kg,7.50/Kg
1043,watermelon,A Grade Fresh Watermelon Fruits,15,enrichamultiorganics/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/1/GK/DP/DP/96447497/fresh-watermelon-fruits-125x125.jpg,7942791957,Enricha Multi Organics LLP,Dombivli,Thane,Kg,15/Kg
1044,watermelon,A Grade Fresh Watermelon Fruit,20,jcfruitcenter/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/11/PU/TC/IT/162935399/watermelon-125x125.jpg,8047551711,J C Fruit Center,Mumbai,,Kg,20/Kg
1045,watermelon,"A Grade Fresh Watermelon, Packaging Type: Loose",25,mahadev-tradingcompany/fresh-watermelon.html,https://5.imimg.com/data5/SELLER/Default/2022/4/KI/DU/RM/151691722/fruits-watermelons-125x125.jpg,7942674768,Mahadev Trading Company,Nashik,,Kg,25/Kg
1046,watermelon,A Grade Organic Watermelon,17,thecountsindia/fresh-fruit.html,https://5.imimg.com/data5/TR/KO/MY-10247618/watermelon-125x125.jpg,8047624884,The Counts India,Coimbatore,,kg,17/kg
1047,watermelon,"A Grade Watermelon, Packaging Type: Carton",10,ridshutrading-thane/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/3/292592610/BP/ZT/CH/180349502/whatsapp-image-2023-03-16-at-11-11-36-am-2--125x125.jpeg,8047551195,Ridshu Trading ( Opc ) Private Limited,Thane,,Kg,10/Kg
1048,watermelon,Kiran Well Watered Watermelon Plant,3.50,ganeshhitechnursery/watermelon-plant.html,https://5.imimg.com/data5/ZW/QW/AJ/SELLER-70560831/watermelon-plant-125x125.jpg,7942560566,Ganesh Hitech Nursery,Pune,,Piece,3.50/Piece
1049,watermelon,"A Grade Watermelon, Packaging Type: Loose",10,nandjtradingcompany/a-grade-watermelon.html,https://5.imimg.com/data5/SELLER/Default/2023/3/292128016/OY/XE/AS/147559954/a-grade-watermelon-125x125.jpg,7942823506,N And J Trading Company,Nashik,,Kg,10/Kg
1050,watermelon,"A Grade Organic Red Watermelon, Packaging Type: Loose",25,mahaleagroimplex/,https://5.imimg.com/data5/SELLER/Default/2023/3/GS/QG/YM/30864444/organic-red-watermelon-125x125.jpg,7942823029,Mahale Agro Impex,Nashik,,Kg,25/Kg
1051,watermelon,"A Grade Watermelon, Packaging Type: loose",10,samse-s-group/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2020/11/BF/JV/UH/4204394/watermelon-125x125.PNG,8046075701,Samse S Group,Mumbai,,Kg,10/Kg
1052,watermelon,Watermelon,50,h-f-industries/,https://5.imimg.com/data5/ANDROID/Default/2023/2/YM/MW/BW/146668980/product-jpeg-125x125.jpg,8048268743,H F Industries,Sambhal,Moradabad,Kg,50/Kg
1053,watermelon,Watermelon,1300,bhavitha-seeds/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2022/11/WZ/IJ/VH/17464303/product-jpeg-125x125.jpg,7942674369,BHAVITHA SEEDS,Anantapur,,Kg,"1,300/Kg"
1054,watermelon,"A Grade Watermelon, Packaging Size: 10 Kg",13,sriprassanna-home-decors/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2023/2/SH/DD/FR/118684346/product-jpeg-125x125.jpg,8048610089,Sri Prassanna Home Decors,Coimbatore,,Kg,13/Kg
1055,watermelon,"Godavari Bahubali Fresh Watermelon, Packaging Size: Loose",10,godavarirealisticagroexports/fresh-fruit.html,https://5.imimg.com/data5/VL/GD/MJ/SELLER-13408537/fresh-watermelon-125x125.jpg,8048980006,Godavari Realistic Agro Exports Pvt. Ltd.,Nashik,,Kg,10/Kg
1056,watermelon,"A Grade Fresh Watermelon Fruit, Packaging Type: Loose",8,steadfast-exports/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/1/TC/SV/BN/79733849/fruits-watermelons-125x125.jpeg,8047670739,Steadfast Exports,Pune,,Kg,8/Kg
1057,watermelon,"Namdhari A Grade Namadari 295 Water Melon, Packaging Type: Plastic Bag",290,maha-agro-traders/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2022/11/WJ/MU/TB/24079735/product-jpeg-125x125.jpg,8048975496,Maha Agro Traders,Tindivanam,Villupuram,Piece,290/Piece
1058,watermelon,A Grade Japan Water Melon,800,vrukshavalli-food-products/,https://5.imimg.com/data5/SELLER/Default/2023/3/292604603/SO/RD/XJ/78885969/japan-melon-125x125.jpg,7942823887,Vrukshavalli Food Products,Raigad,,Kg,800/Kg
1059,watermelon,A Grade Fresh Watermelon,,asquare-traders/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2023/2/ZN/CZ/CT/66230063/product-jpeg-125x125.jpg,8046066209,A Square Traders,Nashik,,,
1060,watermelon,Watermelon,,xportinternational/fresh-vegetables.html,https://5.imimg.com/data5/ANDROID/Default/2023/3/291920679/KY/VO/MV/106253482/product-jpeg-125x125.jpg,7942802644,X Port International,Panvel,Raigarh,,
1061,watermelon,"A Grade Fresh Watermelon, Packaging Type: PP Bag",15,kisan-traders-idar/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2021/1/QR/FG/PN/89985704/fresh-watermelon-125x125.jpg,8047626098,Kisan Traders,Idar,Sabarkantha,Kg,15/Kg
1062,watermelon,"A Grade Watermelon, Packaging Type: Plastic Bag, Packaging Size: 50 Kg",6,bbk-trading-ecommerce/water-mellon.html,https://5.imimg.com/data5/ANDROID/Default/2023/2/RU/ZW/LW/10752343/product-jpeg-125x125.jpg,8043876050,BBK Trading And E-commerce,Baikunthpur,Koriya,Kg,6/Kg
1063,watermelon,"A Grade Fresh Watermelon, Packaging Type: Carton, Packaging Size: 10 Kg",8,avi-impex-agro/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2021/3/CS/AF/UM/58915525/fresh-seedless-watermelon-125x125.jpg,8043812761,Avi Impex Agro Products Nashik,Nashik,,Kg,8/Kg
1064,beetroot,"A Grade Pan India Beetroot, Packaging Type: ba, Packaging Size: 5 Kg",135,karmayogherbal-in/fresh-beetroot.html,https://5.imimg.com/data5/ANDROID/Default/2021/12/BX/ZU/OL/91808105/product-jpeg-125x125.jpg,7942561836,Karmayog Herbal,Ahmedabad,,Kg,135/Kg
1065,beetroot,Beetroot,20,adinathglobalexports/fresh-cabbage.html,https://5.imimg.com/data5/SELLER/Default/2022/2/VY/ZU/OY/3164894/beetroot-125x125.png,7942558343,Adinath Trading Company ( Atc ),New Delhi,,Kg,20/Kg
1066,beetroot,"Dried Red Beetroot, Packaging Size: 20kg",120,nishad-enterprises-kanpur/dried-beetroot.html,https://5.imimg.com/data5/ANDROID/Default/2022/4/UO/LO/TE/89987239/product-jpeg-125x125.jpg,8048987668,Nishad Enterprises,Kanpur,Kanpur Nagar,Kg,120/Kg
1067,beetroot,"25 kg Beetroot Powder, Packaging: PP Bags",150,herbscropsoverseas/herbs-for-hair-care.html,https://5.imimg.com/data5/UL/QK/MY-7835897/beet-root-powder-125x125.png,8046041598,HNCO Organics Private Limited,Ahmedabad,,Kg,150/Kg
1068,beetroot,Liquid Red Beet Root Color,500,herbo-nutra-extract-private-limited/phyto-chemicals.html,https://5.imimg.com/data5/SELLER/Default/2022/11/CE/XT/AE/164254473/red-beet-root-color-125x125.webp,8047782826,Herbo Nutra Extract Private Limited,Noida,Gautam Budh Nagar,Kg,500/Kg
1069,beetroot,Vacuum Fried Beet Root Chips,1099,future-tech/vacuum-fried-fruits-chips.html,https://5.imimg.com/data5/SELLER/Default/2023/1/TW/KF/VQ/2582524/vacuum-fried-beet-root-chips-125x125.png,8047631210,Future Tech Foods India Private Limited,Pune,,Kilogram,"1,099/Kilogram"
1070,beetroot,"Radish A Grade Beetroot Fresh, Packaging Type: Net Bag, Packaging Size: 65",12,pavitra-tradersindore/fresh-beetroot.html,https://5.imimg.com/data5/ANDROID/Default/2022/12/YM/GL/JZ/155102979/product-jpeg-125x125.jpg,8043850820,Pavitra Traders,Rau,Indore,Kg,12/Kg
1071,beetroot,"A Grade Maharashtra Fresh Red Beetroot, Packaging Type: Gunny Bag, Packaging Size: 50 Kg",16,samruddhitradingcompany/fresh-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2023/1/JI/AB/MI/146626771/fresh-red-beetroot-125x125.jpg,8047314243,Samruddhi Trading Company,Vasco Da Gama,South Goa,Kg,16/Kg
1072,beetroot,Fresh Beetroot,9,maa-durga-tradingco/fresh-beetroot.html,https://5.imimg.com/data5/ANDROID/Default/2022/9/AE/WH/LJ/159922398/product-jpeg-125x125.jpg,8048212918,Maa Durga Trading Co.,Hardoi,,Kg,9/Kg
1073,beetroot,"Natural Chob Chini Root, Packaging Size: 50 Kg",680,rr-sales/herbal-roots.html,https://5.imimg.com/data5/SELLER/Default/2021/4/AN/JE/MH/3378710/chob-chini-root-125x125.jpg,8048961235,R.R. Sales Corporation,Delhi,,Kilogram,680/Kilogram
1074,beetroot,"shyali product raw Beetroot, Pan India, Packaging Size: 50",5,shyali-co/fresh-beetroot.html,https://5.imimg.com/data5/SELLER/Default/2020/12/UQ/ZS/AR/82308902/beetroot-pablo-125x125.jpg,7942824108,Shyali Products Private Limited,Darjeeling,North 24 Parganas,Kg,5/Kg
1075,beetroot,Beetroot in Grow Bags,58,subhiksha-organics/plant-grow-bags.html,https://5.imimg.com/data5/QH/QS/MY-35614567/beetroot-in-grow-bags-125x125.png,8046032479,Subhiksha Organics,Salem,,KG,58/KG
1076,beetroot,"Red Carrot Pan India Dried Beetroot Flakes, Beta Vulgaris,, Packaging Type: Net Bag, Packaging Size: 5 Kg",250,swathy-naturals/dehydrated-vegetables.html,https://5.imimg.com/data5/SELLER/Default/2022/2/RT/SO/ZQ/5357063/oie-1072452j4sbgv7x-125x125.jpg,8046048058,Swathy Naturals,Dindigul,,Kg,250/Kg
1077,beetroot,"Hybrid Red Kestrel beetroot, Packaging Type: Tin, Packaging Size: 200 G",880,shriram-krishi-udyog/vegetable-seeds.html,https://5.imimg.com/data5/SELLER/Default/2022/11/XB/TM/WR/26493311/sakata-beetroot-hybrid-seeds-125x125.jpeg,8047543032,Shriram Krishi Udyog,Pune,,Kg,880/Kg
